iter	Passed	Remaining
0	149	748049
1	155	387530
2	158	264758
3	162	202970
4	166	166521
5	170	141699
6	173	124045
7	177	110738
8	181	100611
9	185	92450
10	188	85633
11	192	80049
12	196	75300
13	200	71312
14	203	67684
15	207	64653
16	211	61851
17	215	59534
18	218	57337
19	222	55445
20	226	53617
21	230	52068
22	234	50645
23	238	49354
24	241	48047
25	245	46946
26	249	45895
27	252	44890
28	256	43960
29	260	43136
30	264	42370
31	268	41626
32	271	40888
33	275	40181
34	279	39616
35	283	39053
36	287	38509
37	290	37950
38	294	37453
39	304	37797
40	311	37623
41	316	37383
42	322	37182
43	329	37088
44	348	38327
45	353	38117
46	362	38227
47	368	38015
48	380	38483
49	394	39075
50	424	41213
51	433	41244
52	440	41111
53	446	40928
54	455	40968
55	462	40862
56	468	40623
57	477	40647
58	484	40603
59	491	40426
60	497	40244
61	506	40361
62	516	40441
63	521	40225
64	528	40145
65	535	40014
66	539	39757
67	543	39435
68	551	39442
69	556	39211
70	561	39010
71	565	38727
72	570	38487
73	574	38217
74	578	37978
75	582	37714
76	585	37446
77	589	37197
78	592	36936
79	596	36680
80	600	36467
81	605	36297
82	609	36087
83	612	35864
84	616	35640
85	620	35437
86	623	35227
87	627	35012
88	630	34817
89	634	34618
90	638	34440
91	641	34239
92	645	34063
93	648	33863
94	652	33703
95	656	33537
96	660	33382
97	664	33243
98	670	33216
99	674	33037
100	678	32888
101	681	32732
102	685	32611
103	691	32561
104	695	32420
105	699	32296
106	703	32163
107	707	32028
108	710	31888
109	714	31749
110	719	31680
111	723	31557
112	726	31431
113	730	31297
114	734	31215
115	739	31134
116	743	31017
117	748	30971
118	753	30922
119	757	30797
120	760	30676
121	765	30625
122	770	30559
123	774	30448
124	778	30342
125	783	30296
126	787	30219
127	791	30125
128	795	30037
129	800	29984
130	804	29903
131	808	29810
132	813	29769
133	818	29721
134	821	29618
135	826	29545
136	832	29539
137	836	29471
138	840	29389
139	843	29280
140	847	29211
141	851	29146
142	855	29054
143	858	28956
144	862	28881
145	867	28852
146	871	28758
147	874	28662
148	877	28567
149	892	28849
150	896	28804
151	901	28754
152	905	28691
153	912	28716
154	919	28728
155	922	28644
156	927	28615
157	932	28591
158	939	28604
159	943	28548
160	948	28516
161	952	28440
162	955	28347
163	957	28247
164	962	28215
165	966	28157
166	970	28073
167	972	27976
168	977	27930
169	982	27901
170	986	27849
171	989	27761
172	994	27734
173	999	27708
174	1002	27639
175	1005	27554
176	1012	27602
177	1019	27628
178	1029	27716
179	1032	27654
180	1035	27573
181	1039	27509
182	1042	27452
183	1047	27418
184	1050	27347
185	1053	27266
186	1057	27226
187	1062	27187
188	1065	27119
189	1068	27039
190	1071	26981
191	1076	26959
192	1080	26901
193	1083	26832
194	1086	26761
195	1091	26745
196	1094	26690
197	1097	26621
198	1100	26554
199	1104	26519
200	1109	26492
201	1112	26436
202	1115	26368
203	1119	26320
204	1124	26298
205	1127	26247
206	1130	26181
207	1133	26112
208	1137	26086
209	1142	26063
210	1145	26006
211	1148	25946
212	1153	25915
213	1157	25897
214	1161	25851
215	1164	25787
216	1168	25752
217	1173	25743
218	1176	25691
219	1179	25630
220	1182	25573
221	1186	25536
222	1191	25516
223	1194	25460
224	1197	25403
225	1201	25370
226	1207	25387
227	1210	25338
228	1213	25283
229	1217	25258
230	1222	25241
231	1225	25190
232	1228	25133
233	1232	25099
234	1237	25089
235	1241	25058
236	1244	25003
237	1247	24957
238	1252	24949
239	1256	24919
240	1259	24867
241	1262	24817
242	1267	24803
243	1271	24781
244	1274	24735
245	1277	24688
246	1281	24663
247	1286	24651
248	1289	24610
249	1292	24563
250	1296	24533
251	1301	24527
252	1305	24491
253	1309	24462
254	1313	24442
255	1318	24432
256	1322	24412
257	1326	24380
258	1331	24365
259	1335	24341
260	1339	24321
261	1344	24322
262	1349	24314
263	1353	24287
264	1357	24255
265	1361	24235
266	1367	24236
267	1370	24200
268	1373	24155
269	1376	24122
270	1382	24123
271	1385	24090
272	1388	24043
