flight_id,flight_no,arrival_airport,airport_name,city,scheduled_departure,scheduled_arrival,status,arival_longitude,arival_latitude,model,total_seat_cnt,occ_seats,sum_per_flight,time_in_air
136115,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-24T10:05:00Z,2017-08-24T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,1396800.00,
136116,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-05T10:05:00Z,2017-08-05T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,120,1715200.00,98.0
136117,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-11T10:05:00Z,2016-11-11T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,123,1799400.00,101.0
136118,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-09-06T10:05:00Z,2017-09-06T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,918600.00,
136119,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,113,1653000.00,101.0
136120,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1605400.00,99.0
136121,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-19T10:05:00Z,2016-09-19T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,117,1677400.00,101.0
136122,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-08T10:05:00Z,2017-01-08T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,97,1431000.00,100.0
136123,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-08-30T10:05:00Z,2016-08-30T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,112,1640800.00,101.0
136124,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-13T10:05:00Z,2016-09-13T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,106,1494400.00,99.0
136125,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-08-31T10:05:00Z,2016-08-31T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,120,1739600.00,99.0
136126,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-19T10:05:00Z,2017-08-19T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,1370000.00,
136127,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-17T10:05:00Z,2017-04-17T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,121,1751800.00,99.0
136128,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-13T10:05:00Z,2017-05-13T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,113,1654200.00,99.0
136129,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-14T10:05:00Z,2017-03-14T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,106,1518800.00,99.0
136130,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-13T10:05:00Z,2017-02-13T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,107,1556600.00,99.0
136131,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-28T10:05:00Z,2017-01-28T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,124,1812800.00,99.0
136132,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-15T10:05:00Z,2017-02-15T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,116,1714000.00,99.0
136133,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-08-02T10:05:00Z,2017-08-02T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,114,1617600.00,99.0
136134,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-23T10:05:00Z,2017-05-23T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,115,1653000.00,100.0
136135,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-01T10:05:00Z,2017-02-01T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,115,1678600.00,100.0
136136,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-30T10:05:00Z,2017-05-30T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,110,1616400.00,100.0
136137,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-13T10:05:00Z,2017-04-13T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1628600.00,100.0
136138,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-31T10:05:00Z,2017-05-31T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,130,1886000.00,99.0
136139,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-07T10:05:00Z,2017-03-07T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,112,1642000.00,98.0
136140,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-01T10:05:00Z,2017-03-01T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,102,1495600.00,99.0
136141,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-12T10:05:00Z,2016-12-12T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1603000.00,102.0
136142,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-25T10:05:00Z,2017-06-25T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1531000.00,101.0
136143,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-12-14T10:05:00Z,2016-12-14T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,105,1554200.00,100.0
136144,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-09-13T10:05:00Z,2017-09-13T11:45:00Z,Scheduled,37.4146,55.972599,Boeing 737-300,130,,24400.00,
136145,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-08-21T10:05:00Z,2016-08-21T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,58,832000.00,100.0
136146,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-02-09T10:05:00Z,2017-02-09T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1604200.00,100.0
136147,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-05T10:05:00Z,2017-03-05T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,112,1642000.00,100.0
136148,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-29T10:05:00Z,2017-04-29T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,109,1629800.00,101.0
136149,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-15T10:05:00Z,2016-10-15T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,125,1800600.00,98.0
136150,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-04-11T10:05:00Z,2017-04-11T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,121,1776200.00,100.0
136151,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-22T10:05:00Z,2017-06-22T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,118,1715200.00,99.0
136152,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-07-20T10:05:00Z,2017-07-20T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,130,1886000.00,99.0
136153,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-22T10:05:00Z,2017-03-22T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,108,1592000.00,99.0
136154,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-11-07T10:05:00Z,2016-11-07T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,115,1654200.00,100.0
136155,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-06-11T10:05:00Z,2017-06-11T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,107,1604200.00,101.0
136156,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-03-25T10:05:00Z,2017-03-25T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,122,1764000.00,99.0
136157,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-08-26T10:05:00Z,2016-08-26T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,107,1555400.00,98.0
136158,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-09-05T10:05:00Z,2016-09-05T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,108,1543200.00,100.0
136159,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,115,1700600.00,98.0
136160,PG0252,SVO,Sheremetyevo International Airport,Moscow,2017-05-09T10:05:00Z,2017-05-09T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,117,1700600.00,100.0
136161,PG0252,SVO,Sheremetyevo International Airport,Moscow,2016-10-18T10:05:00Z,2016-10-18T11:45:00Z,Arrived,37.4146,55.972599,Boeing 737-300,130,121,1773800.00,100.0
