iter	Logloss
0	0.6757768025
1	0.664837115
2	0.6511451122
3	0.6467062586
4	0.6399379952
5	0.6352253988
6	0.6323015151
7	0.6288178228
8	0.6247280325
9	0.6222913447
10	0.6193270305
11	0.618162084
12	0.6164297831
13	0.6157441889
14	0.6153513587
15	0.6144086279
16	0.6137719597
17	0.612956082
18	0.6125711262
19	0.6124150283
20	0.6098205695
21	0.6081930862
22	0.6065702062
23	0.6059376192
24	0.6055364493
25	0.6051652896
26	0.6048084634
27	0.6030067753
28	0.6026394362
29	0.6022085954
30	0.601476362
31	0.6008226176
32	0.6006362704
33	0.5998326926
34	0.5991678602
35	0.5989250854
36	0.5987934183
37	0.5982351263
38	0.598102491
39	0.5979520576
40	0.5976768088
41	0.5974095261
42	0.5972252746
43	0.5968920694
44	0.5966884389
45	0.5964078339
46	0.5962236056
47	0.5960879281
48	0.5959749538
49	0.5958304433
