iter	Passed	Remaining
0	14	687
1	26	646
2	40	639
3	55	639
4	70	631
5	84	622
6	99	612
7	120	630
8	152	695
9	167	670
10	182	645
11	215	682
12	230	656
13	259	666
14	274	641
15	289	616
16	322	625
17	353	628
18	368	601
19	385	577
20	399	552
21	416	530
22	431	506
23	458	497
24	473	473
25	503	464
26	517	441
27	550	432
28	566	410
29	581	387
30	596	365
31	623	350
32	656	338
33	671	315
34	687	294
35	704	274
36	719	252
37	745	235
38	762	215
39	780	195
40	818	179
41	833	158
42	847	138
43	879	119
44	894	99
45	942	81
46	971	61
47	1002	41
48	1033	21
49	1048	0
